ID,ZoneName,AreaName_lang,ContinentID,ParentAreaID,AreaBit,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,UwAmbience,ZoneMusic,UwZoneMusic,ExplorationLevel,IntroSound,UwIntroSound,FactionGroupMask,Ambient_multiplier,MountFlags,PvpCombatWorldStateID,WildBattlePetLevelMin,WildBattlePetLevelMax,WindSettingsID,Flags_0,Flags_1,LiquidTypeID_0,LiquidTypeID_1,LiquidTypeID_2,LiquidTypeID_3
1,DunMorogh,"Dun Morogh",0,0,119,0,11,598,675,759,0,0,0,0,2,0.30000001192,15,-1,0,0,0,16449,256,0,0,0,0
2,Longshore,Longshore,0,40,120,0,11,567,675,9,0,0,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
3,Badlands,Badlands,0,0,121,0,11,606,675,738,0,0,0,0,0,0.10000000149,15,-1,0,0,0,16448,256,0,0,0,0
4,BlastedLands,"Blasted Lands",0,0,122,0,11,210,675,7,0,0,0,0,0,0,15,-1,0,0,0,16448,256,0,0,0,0
7,DarkwaterCove,"Blackwater Cove",0,5287,123,0,11,0,675,3,0,0,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
8,SwampofSorrows,"Swamp of Sorrows",0,0,124,0,11,33,675,223,0,0,0,0,0,0.30000001192,15,-1,0,0,0,16448,256,0,0,0,0
9,NorthshireValley,"Northshire Valley",0,12,125,0,11,35,675,1,0,0,674,0,0,0,15,-1,0,0,0,1076903936,256,0,0,0,0
10,Duskwood,Duskwood,0,0,617,0,11,572,675,2,0,0,0,0,0,0.30000001192,15,-1,0,0,0,16448,256,0,0,0,0
11,Wetlands,Wetlands,0,0,618,0,11,603,675,637,0,0,0,0,0,0.30000001192,15,-1,0,0,0,16448,256,0,0,0,0
12,ElwynnForest,"Elwynn Forest",0,0,126,0,11,604,675,1,0,0,670,0,2,0,15,-1,0,0,0,16448,256,0,0,0,0
13,TheWorldTree,"The World Tree",0,10,555,0,11,48,675,11,0,0,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
14,Durotar,Durotar,1,0,127,0,11,569,675,890,0,0,0,0,4,0.40000000596,15,-1,0,0,0,16448,256,0,0,0,0
15,DustwallowMarsh,"Dustwallow Marsh",1,0,128,0,11,586,675,590,0,0,0,0,0,0.40000000596,15,-1,0,0,0,16448,256,0,0,0,0
16,Azshara,Azshara,1,0,129,0,11,570,675,858,0,0,756,0,4,0.30000001192,15,-1,0,0,0,16448,256,0,0,0,0
17,TheBarrens,"Northern Barrens",1,0,130,0,11,629,675,800,0,0,0,0,4,0.30000001192,15,-1,0,0,0,16448,256,0,0,0,0
18,CrystalLake,"Crystal Lake",0,12,131,0,11,35,675,1,0,7,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
19,Zul'Gurub,Zul'Gurub,0,33,574,0,11,32,675,713,0,40,0,0,0,0,15,-1,0,0,0,1073762368,256,0,0,0,0
20,Moonbrook,Moonbrook,0,40,132,0,11,0,675,9,0,14,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
21,KulTiras,"Kul Tiras",0,0,133,0,11,0,675,8,0,0,0,0,0,0,15,-1,0,0,0,16448,256,0,0,0,0
22,ProgrammerIsle,"Programmer Isle",451,0,547,0,11,38,675,2,0,0,0,0,0,0,14,3499,0,0,0,16448,256,1,0,0,0
23,NorthshireRiver,"Northshire River",0,12,134,0,11,35,675,0,0,0,0,0,0,0,15,-1,0,0,0,1074806848,256,0,0,0,0
24,Northshireabbey,"Northshire Abbey",0,12,135,73,11,35,675,1,0,0,0,0,0,0,15,-1,0,0,0,1076904000,256,0,0,0,0
25,BlackrockMountain,"Blackrock Mountain",0,0,136,0,11,46,675,10,0,0,0,0,0,0,15,-1,0,0,0,16448,256,0,0,0,0
26,Lighthouse,Lighthouse,0,40,602,0,11,0,675,7,0,0,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
28,WesternPlaguelands,"Western Plaguelands",0,0,137,0,11,634,675,635,0,0,0,0,0,0.30000001192,15,-1,0,0,0,16448,256,0,0,0,0
30,Nine,Nine,0,0,138,0,11,0,675,0,0,0,0,0,0,0,15,-1,0,0,0,16448,256,0,0,0,0
32,TheCemetary,"The Cemetary",0,10,139,0,11,0,675,2,0,0,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
33,StranglethornJungle,"Northern Stranglethorn",0,5339,140,0,11,600,675,3,0,0,0,0,0,0.30000001192,15,-1,0,0,0,16448,256,0,0,0,0
34,EchoRidgeMine,"Echo Ridge Mine",0,12,141,0,11,35,675,1,0,0,0,0,0,0,15,-1,0,0,0,1073758208,256,0,0,0,0
35,BootyBay,"Booty Bay",0,5287,142,0,11,567,675,3,0,42,638,0,0,0,15,-1,0,0,0,1075855424,256,0,0,0,0
36,AlteracMountains,"Alterac Mountains",0,267,143,0,11,594,675,743,0,0,0,0,0,0.5,15,-1,0,0,0,1073758272,256,0,0,0,0
37,LakeNazferiti,"Lake Nazferiti",0,33,144,0,11,579,675,3,0,36,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
38,LochModan,"Loch Modan",0,0,145,0,11,616,675,792,0,0,0,0,2,0.10000000149,15,-1,0,0,0,16448,256,0,0,0,0
40,Westfall,Westfall,0,0,146,0,11,602,675,9,0,0,0,0,2,0.10000000149,15,-1,0,0,0,16448,256,0,0,0,0
41,DeadwindPass,"Deadwind Pass",0,0,556,0,11,597,675,2,0,0,0,0,0,0.30000001192,15,-1,0,0,0,16448,256,0,0,0,0
42,Darkshire,Darkshire,0,10,147,0,11,0,675,770,0,25,0,0,0,0,15,-1,0,0,0,1075855424,256,0,0,0,0
43,WildShore,"Wild Shore",0,5287,148,0,11,567,675,3,0,42,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
44,RedridgeMountains,"Redridge Mountains",0,0,149,0,11,31,675,747,0,0,0,0,0,0.20000000298,15,-1,0,0,0,16448,256,0,0,0,0
45,ArathiHighlands,"Arathi Highlands",0,0,150,0,11,615,675,609,0,0,0,0,0,0.20000000298,15,-1,0,0,0,16448,256,0,0,0,0
46,BurningSteppes,"Burning Steppes",0,0,151,0,11,596,675,725,0,0,0,0,0,0.10000000149,15,-1,0,0,0,16448,256,0,0,0,0
47,TheHinterlands,"The Hinterlands",0,0,152,0,11,605,675,1,0,0,0,0,0,0.40000000596,15,-1,0,0,0,16448,256,0,0,0,0
49,DeadMansHole,"Dead Man's Hole",451,22,153,0,11,0,675,0,0,0,0,0,0,0,13,-1,0,0,0,1073741888,256,0,0,0,0
51,SearingGorge,"Searing Gorge",0,0,154,0,11,46,675,10,0,0,0,0,0,0.10000000149,15,-1,0,0,0,16448,256,0,0,0,0
53,ThievesCamp,"Thieves Camp",0,12,155,0,11,35,675,1,0,0,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
54,JasperlodeMine,"Jasperlode Mine",0,12,550,0,11,35,675,1,0,8,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
55,ValleyofHeroesUNUSED,"Valley of Heroes UNUSED",0,12,156,0,11,35,675,13,0,0,61,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
56,Heroes'Vigil,"Heroes' Vigil",0,12,157,0,11,35,675,1,0,0,673,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
57,FargodeepMine,"Fargodeep Mine",0,12,158,0,11,35,675,1,0,5,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
59,NorthshireVineyards,"Northshire Vineyards",0,12,159,0,11,582,675,785,0,0,0,0,0,0,15,-1,0,0,0,1074806784,256,0,0,0,0
60,Forest'sEdge,"Forest's Edge",0,12,606,0,11,35,675,1,0,8,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
61,ThunderFalls,"Thunder Falls",0,12,160,0,11,35,675,1,0,0,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
62,PumpkinPatch,"Brackwell Pumpkin Patch",0,12,161,0,11,35,675,1,0,8,671,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
63,TheStonefieldFarm,"The Stonefield Farm",0,12,162,0,11,35,675,1,0,6,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
64,TheMaclureVineyards,"The Maclure Vineyards",0,12,163,0,11,35,675,1,0,6,676,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
65,Dragonblight,Dragonblight,571,0,164,0,11,439,675,412,0,0,545,0,0,0,15,-1,0,0,0,16452,256,0,0,0,0
66,ZulDrak,Zul'Drak,571,0,165,0,11,441,675,423,0,76,544,0,0,0,15,-1,0,0,0,16452,256,0,0,0,0
67,TheStormPeaks,"The Storm Peaks",571,0,166,0,11,465,675,420,0,77,0,0,0,0.60000002384,15,-1,0,0,0,16449,256,0,0,0,0
68,LakeEverstill,"Lake Everstill",0,44,557,0,11,0,675,1,0,16,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
69,Lakeshire,Lakeshire,0,44,167,0,11,0,675,1,0,15,0,0,0,0,15,-1,0,0,0,1075855424,256,0,0,0,0
70,Stonewatch,Stonewatch,0,44,168,0,11,0,675,1,0,24,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
71,StonewatchFalls,"Stonewatch Falls",0,44,627,0,11,0,675,1,0,20,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
72,TheDarkPortal,"The Dark Portal",0,4,169,0,11,210,675,7,0,63,649,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
73,TheTaintedScar,"The Tainted Scar",0,4,170,0,11,0,675,731,0,50,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
74,PoolofTears,"Pool of Tears",0,8,171,0,11,0,675,0,0,53,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
75,Stonard,Stonard,0,8,172,0,11,0,675,0,0,54,0,0,0,0,15,-1,0,0,0,1075855424,256,0,0,0,0
76,FallowSanctuary,"Fallow Sanctuary",0,8,173,0,11,0,675,0,0,53,0,0,0,0,15,-1,0,0,0,1073758272,256,0,0,0,0
77,Anvilmar,Anvilmar,0,1,174,0,11,0,675,8,0,0,0,0,0,0,15,-1,0,0,0,1076903936,256,0,0,0,0
80,StormwindMountains,"Stormwind Mountains",0,12,175,0,11,35,675,17,0,10,0,0,2,0,15,-1,0,0,0,1073758272,256,0,0,0,0
