ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,RaidOffset,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,Field_1_15_4_56400_021,Flags_0,Flags_1,Flags_2
0,Azeroth,"Eastern Kingdoms",,,,,1,0,0,0,4,-1,-1,-1,0,1,0,-1,0,0,804940,0,16793181,135528448,128
1,Kalimdor,Kalimdor,,,,,1,0,0,0,3,-1,-1,-1,0,1,0,-1,0,0,804935,0,16793181,135528448,128
30,PVPZone01,"Alterac Valley","Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).
","Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).
",,,1,3,0,0,104,-1,-1,-1,0,1,0,-1,0,0,0,0,16793105,134479880,2
33,Shadowfang,"Shadowfang Keep",,,,,1,1,0,0,204,-1,-1,-1,0,1,0,0,10,0,0,0,16793117,134479872,2
34,StormwindJail,"Stormwind Stockade",,,,,2,1,0,717,194,-1,-1,-1,0,1,0,0,10,0,0,0,1553,134217728,2
35,StormwindPrison,<unused>StormwindPrison,,,,,2,0,0,717,23,-1,-1,-1,0,1,0,0,0,0,0,0,1555,134217736,2
36,DeadminesInstance,Deadmines,,,,,1,1,0,0,142,-1,-1,-1,0,1,0,0,10,0,0,0,16793105,134479872,2
43,WailingCaverns,"Wailing Caverns",,,,,2,1,0,718,143,-1,-1,-1,0,1,0,1,10,0,0,0,1553,134217728,2
44,Monastery,"<unused> Monastery",,,,,2,1,0,0,42,-1,-1,-1,0,1,0,0,10,0,0,0,1555,134217736,2
47,RazorfenKraulInstance,"Razorfen Kraul",,,,,1,1,0,0,188,-1,-1,-1,0,1,0,1,10,0,0,0,16793105,134479872,2
48,Blackfathom,"Blackfathom Deeps",,,,,2,1,0,719,196,-1,-1,-1,0,1,0,1,10,0,0,0,1553,134217728,2
70,Uldaman,Uldaman,,,,,2,1,0,1337,144,-1,-1,-1,0,1,0,0,10,0,0,0,1553,134217728,2
90,GnomeragonInstance,Gnomeregan,,,,,2,1,0,721,193,-1,-1,-1,0,1,0,0,10,0,0,0,1553,134217728,2
109,SunkenTemple,"Sunken Temple",,,,,2,1,0,1477,191,-1,-1,-1,0,1,0,0,10,0,0,0,1553,134217728,2
129,RazorfenDowns,"Razorfen Downs",,,,,1,1,0,0,145,-1,-1,-1,0,1,0,1,10,0,0,0,16793105,134479872,2
169,EmeraldDream,"Emerald Dream",,,,,1,2,0,0,0,-1,-1,-1,0,1,0,-1,40,0,0,0,16793105,134479872,2
189,MonasteryInstances,"Scarlet Monastery",,,,,1,1,0,0,190,-1,-1,-1,0,1,0,0,10,0,0,0,16793105,134479872,2
209,TanarisInstance,Zul'Farrak,,,,,1,1,0,0,146,-1,-1,-1,0,1,0,1,10,0,0,0,16793105,134479872,2
229,BlackRockSpire,"Blackrock Spire",,,,,2,1,0,1583,189,-1,-1,-1,0,1,0,0,10,0,0,0,1537,134217728,2
230,BlackrockDepths,"Blackrock Depths",,,,,2,1,0,1584,103,-1,-1,-1,0,1,0,0,5,0,0,0,1553,134217728,2
249,OnyxiaLairInstance,"Onyxia's Lair",,,,,2,2,0,2159,61,-1,-1,-1,0,1,0,1,40,0,0,0,34305,134217728,2
269,CavernsOfTime,"Opening of the Dark Portal",,,,,1,1,1,0,212,-1,-1,-1,0,1,0,1,5,0,0,0,16793105,134479872,2
289,SchoolofNecromancy,Scholomance,,,,,1,1,0,0,102,-1,-1,-1,0,1,0,0,5,0,0,0,16793105,134479872,2
309,Zul'gurub,"Ancient Zul'Gurub",,,,,1,1,0,1977,161,-1,-1,-1,0,1,0,0,20,0,0,0,17317393,134479872,2
