Name_lang,ID,ParentUiMapID,Flags,System,Type,Field_1_14_4_50252_006,Field_1_14_4_50252_007,Field_1_14_4_50252_008,Field_1_14_4_50252_009,Field_1_14_4_50252_010,Field_1_14_4_50252_011,Field_1_14_4_50252_012,Field_1_14_4_50252_013
Durotar,1,12,4,0,3,0,0,0,0,0,0,1,10
"Burning Blade Coven",2,1,0,0,5,0,0,0,0,0,0,0,0
"Tiragarde Keep",3,1,0,0,5,0,0,0,0,0,0,0,0
"Tiragarde Keep",4,1,0,0,5,0,0,0,0,0,0,0,0
"Skull Rock",5,1,0,0,5,0,0,0,0,0,0,0,0
"Dustwind Cave",6,1,0,0,5,0,0,0,0,0,0,0,0
Mulgore,7,12,4,0,3,0,0,0,0,0,0,1,10
"Palemane Rock",8,7,0,0,5,0,0,0,0,0,0,0,0
"The Venture Co. Mine",9,7,0,0,5,0,0,0,0,0,0,0,0
"The Barrens",10,12,4,0,3,0,0,0,0,0,0,10,20
"Wailing Caverns",11,10,0,0,5,0,0,0,0,0,0,0,0
Kalimdor,12,947,4,0,2,0,0,0,0,0,0,0,0
"Eastern Kingdoms",13,947,4,0,2,0,0,0,0,0,0,0,0
"Arathi Highlands",14,13,4,0,3,0,0,0,0,0,0,25,30
Badlands,15,13,4,0,3,0,0,0,0,0,0,45,48
Uldaman,16,15,0,0,5,0,0,0,0,0,0,0,0
"Blasted Lands",17,13,4,0,3,0,0,0,0,0,0,55,60
"Tirisfal Glades",18,13,4,0,3,0,0,0,0,0,0,1,10
"Scarlet Monastery Entrance",19,18,0,0,5,0,0,0,0,0,0,0,0
"Silverpine Forest",21,13,4,0,3,0,0,0,0,0,0,10,20
"Western Plaguelands",22,13,4,0,3,0,0,0,0,0,0,35,40
"Eastern Plaguelands",23,13,4,0,3,0,0,0,0,0,0,40,45
"Hillsbrad Foothills",25,13,4,0,3,0,0,0,0,0,0,20,25
"The Hinterlands",26,13,4,0,3,0,0,0,0,0,0,30,35
"Dun Morogh",27,13,4,0,3,0,0,0,0,0,0,1,10
"Coldridge Pass",28,27,0,0,5,0,0,0,0,0,0,0,0
"The Grizzled Den",29,27,0,0,5,0,0,0,0,0,0,0,0
"New Tinkertown",30,27,0,0,5,0,0,0,0,0,0,0,0
"Gol'Bolar Quarry",31,27,0,0,5,0,0,0,0,0,0,0,0
"Searing Gorge",32,13,4,0,3,0,0,0,0,0,0,47,51
"Blackrock Mountain",33,36,0,0,5,0,0,0,0,0,0,0,0
"Blackrock Mountain",34,36,0,0,5,0,0,0,0,0,0,0,0
"Blackrock Mountain",35,32,0,0,5,0,0,0,0,0,0,0,0
"Burning Steppes",36,13,4,0,3,0,0,0,0,0,0,50,52
"Elwynn Forest",37,13,4,0,3,0,0,0,0,0,0,1,10
"Fargodeep Mine",38,37,0,0,5,0,0,0,0,0,0,0,0
"Fargodeep Mine",39,37,0,0,5,0,0,0,0,0,0,0,0
"Jasperlode Mine",40,37,0,0,5,0,0,0,0,0,0,0,0
"Deadwind Pass",42,13,4,0,3,0,0,0,0,0,0,55,56
Duskwood,47,13,4,0,3,0,0,0,0,0,0,20,25
"Loch Modan",48,13,4,0,3,0,0,0,0,0,0,10,20
"Redridge Mountains",49,13,4,0,3,0,0,0,0,0,0,15,20
"Northern Stranglethorn",50,13,6,0,3,0,0,0,0,0,0,25,30
"Swamp of Sorrows",51,13,4,0,3,0,0,0,0,0,0,52,54
Westfall,52,13,4,0,3,0,0,0,0,0,0,10,15
"Gold Coast Quarry",53,52,0,0,5,0,0,0,0,0,0,0,0
"Jangolode Mine",54,52,0,0,5,0,0,0,0,0,0,0,0
"The Deadmines",55,52,0,0,5,0,0,0,0,0,0,0,0
Wetlands,56,13,4,0,3,0,0,0,0,0,0,20,25
Teldrassil,57,12,4,0,3,0,0,0,0,0,0,1,10
"Shadowthread Cave",58,57,0,0,5,0,0,0,0,0,0,0,0
"Fel Rock",59,57,0,0,5,0,0,0,0,0,0,0,0
"Ban'ethil Barrow Den",60,57,0,0,5,0,0,0,0,0,0,0,0
"Ban'ethil Barrow Den",61,57,0,0,5,0,0,0,0,0,0,0,0
Darkshore,62,12,4,0,3,0,0,0,0,0,0,10,20
Ashenvale,63,12,4,0,3,0,0,0,0,0,0,20,25
"Thousand Needles",64,12,4,0,3,0,0,0,0,0,0,40,45
"Stonetalon Mountains",65,12,4,0,3,0,0,0,0,0,0,25,30
Desolace,66,12,4,0,3,0,0,0,0,0,0,30,35
Maraudon,67,66,0,0,5,0,0,0,0,0,0,0,0
Maraudon,68,66,0,0,5,0,0,0,0,0,0,0,0
Feralas,69,12,4,0,3,0,0,0,0,0,0,35,40
"Dustwallow Marsh",70,12,4,0,3,0,0,0,0,0,0,35,40
Tanaris,71,12,4,0,3,0,0,0,0,0,0,45,50
"The Noxious Lair",72,71,0,0,5,0,0,0,0,0,0,0,0
"The Gaping Chasm",73,71,0,0,5,0,0,0,0,0,0,0,0
"Caverns of Time",74,71,0,0,5,0,0,0,0,0,0,0,0
"Caverns of Time",75,71,0,0,5,0,0,0,0,0,0,0,0
Azshara,76,12,4,0,3,0,0,0,0,0,0,10,20
Felwood,77,12,4,0,3,0,0,0,0,0,0,45,50
"Un'Goro Crater",78,12,4,0,3,0,0,0,0,0,0,50,55
"The Slithering Scar",79,78,0,0,5,0,0,0,0,0,0,0,0
Moonglade,80,12,4,0,3,0,0,0,0,0,0,15,15
