Name_lang,Description_lang,ID,Pos[0],Pos[1],Pos[2],PortLocID,PlayerConditionID,UiTextureAtlasMemberID,Flags,WMOGroupID,PoiDataType,PoiData,ContinentID,AreaID,WorldStateID,UiWidgetSetID,Importance,Icon
Anvilmar,,1,-6134.28,383.763,0,0,0,0,5,0,0,0,0,132,0,0,3,6
Brill,,2,2249.85,278.41385,0,0,0,0,5,0,0,0,0,0,0,0,3,6
Darkshire,,3,-10564.7,-1170.65,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
Deathknell,,4,1879.8323,1588.2028,0,0,0,0,5,0,0,0,0,0,0,0,3,6
Dun Algaz,,5,-4191.0234,-2373.1401,0,0,0,0,5,0,0,0,0,0,0,0,3,6
Dun Modr,,6,-2610.2583,-2350.5583,0,0,0,0,5,0,0,0,0,0,0,0,3,6
Goldshire,,7,-9480.089,63.521755,0,0,0,0,5,0,0,0,0,0,0,0,3,6
Ironforge,,8,-5021,-834.059,0,0,0,0,29,0,0,0,0,-1,0,0,3,5
Kharanos,,9,-5585.9507,-482.12653,0,0,0,0,5,0,0,0,0,0,0,0,2,6
Lakeshire,,10,-9227.69,-2201.47,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
Menethil Harbor,,11,-3672.7,-828.455,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
Moonbrook,,12,-11017.066,1510.168,0,0,0,0,5,0,0,0,0,0,0,0,3,6
Northshire Abbey,,13,-8896.159,-179.32834,0,0,0,0,5,0,0,0,0,0,0,0,3,6
Raven Hill,,14,-10752.526,310.43338,0,0,0,0,5,0,0,0,0,0,0,0,3,6
Sentinel Hill,,15,-10503.7,1027.76,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
Stormwind,,16,-9153.77,364.057,0,0,0,0,29,0,0,0,0,-1,0,0,3,5
The Sepulcher,,17,508.073,1619.02,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
The Undercity,,18,1849.69,235.699,0,0,0,0,29,0,0,0,0,-1,0,0,4,5
Thelsamar,,19,-5349.27,-2959.91,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
Alliance,,20,-448.982,-1028.22,0,0,0,0,1,0,0,0,37,0,0,0,0,0
Horde,,21,-669.134,-483.289,0,0,0,0,1,0,0,0,37,0,0,0,0,0
Southshore,,22,-803.031,-531.727,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
Tarren Mill,,23,-27.0354,-900.562,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
Refuge Pointe,,24,-1251.05,-2526.81,0,0,0,0,5,0,0,0,0,0,0,0,3,6
Hammerfall,,25,-991.57,-3528.34,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
Kargath,,26,-6676.42,-2186.68,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
Angor Fortress,,27,-6392.65,-3158,0,0,0,0,5,0,0,0,0,0,0,0,3,6
Bloodhoof Village,,28,-2323.92,-394.981,0,0,0,0,5,0,0,0,1,0,0,0,3,6
Thunder Bluff,,29,-1205.41,29.4214,0,0,0,0,29,0,0,0,1,-1,0,0,3,5
Camp Narache,,30,-2906.49,-253.607,0,0,0,0,5,0,0,0,1,0,0,0,3,6
Razor Hill,,31,312.659,-4745.52,0,0,0,0,5,0,0,0,1,362,0,0,3,6
The Den,,32,-604.098,-4202.92,0,0,0,0,5,0,0,0,1,0,0,0,3,6
Orgrimmar,,33,1381.77,-4371.16,0,0,0,0,29,0,0,0,1,-1,0,0,3,5
Sen'jin Village,,34,-819.492,-4918.24,0,0,0,0,5,0,0,0,1,367,0,0,3,6
The Crossroads,,35,-455.9,-2652.15,0,0,0,0,13,0,0,0,1,-1,0,0,3,4
Aldrassil,,36,10462.7,805.993,0,0,0,0,5,0,0,0,1,188,0,0,3,4
Dolanaar,,37,9787.99,949.897,0,0,0,0,1,0,0,0,1,-1,0,0,3,4
Darnassus,,38,9951.75,2254.5,0,0,0,0,29,0,0,0,1,-1,0,0,3,5
Ratchet,,39,-951.364,-3680.07,0,0,0,0,13,0,0,0,1,0,0,0,3,4
Booty Bay,,40,-14383.3,487.139,0,0,0,0,13,0,0,0,0,0,0,0,3,4
Grom'gol Base Camp,,41,-12378.4,185.734,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
Astranaar,,42,2720.43,-382.391,0,0,0,0,13,0,0,0,1,-1,0,0,3,4
Stonetalon Peak,,44,2658.78,1449.71,0,0,0,0,13,0,0,0,1,0,0,0,3,4
Thalanaar,,45,-4510.03,-779.474,0,0,0,0,13,0,0,0,1,0,0,0,3,4
Freewind Post,,46,-5454.07,-2445.5,0,0,0,0,13,0,0,0,1,0,0,0,3,4
Mirror Lake,,227,-9389.26,458.427,0,0,0,0,4,0,0,0,0,-1,0,0,0,2
Slaughter Hollow,,247,861.216,-558.217,0,0,0,0,4,0,0,0,0,282,0,0,0,2
Drywhisker Gorge,,327,-1014.22,-3827.39,0,0,0,0,4,0,0,0,0,321,0,0,0,6
Sun Rock Retreat,,701,936.308,910.974,0,0,0,0,13,0,0,0,1,-1,0,0,3,4
Temple of Zin-Malor,,707,3549.15,-5359.12,0,0,0,0,4,0,0,0,1,1221,0,0,0,6
Hetaera's Clutch,,708,3556.64,-6232.79,0,0,0,0,4,0,0,0,1,1227,0,0,0,6
Uther's Tomb,,709,969.176,-1825.52,0,0,0,0,4,0,0,0,0,197,0,0,0,6
Scholomance,,710,1262.19,-2579.41,0,0,0,0,4,0,0,0,0,-1,0,0,0,6
Whitereach Post,,767,-4917.35,-1375.5,0,0,0,0,4,0,0,0,1,480,0,0,0,6
Stonard,,788,-10443.7,-3277.49,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
Gadgetzan,,789,-7139.15,-3752.11,0,0,0,0,13,0,0,0,1,-1,0,0,3,4
Camp Mojache,,790,-4394.98,215.611,0,0,0,0,13,0,0,0,1,-1,0,0,3,4
Theramore Isle,,791,-3680.17,-4388.51,0,0,0,0,13,0,0,0,1,-1,0,0,3,4
Aerie Peak,,792,234.85,-2127.76,0,0,0,0,13,0,0,0,0,-1,0,0,3,4
Everlook,,794,6723.46,-4662.5,0,0,0,0,13,0,0,0,1,-1,0,0,3,4
Shadowprey Village,,795,-1657.85,3097.92,0,0,0,0,13,0,0,0,1,-1,0,0,3,4
Feathermoon Stronghold,,796,-4434.99,3276.74,0,0,0,0,13,0,0,0,1,-1,0,0,3,4
Auberdine,,798,6439.33,411.951,0,0,0,0,13,0,0,0,1,-1,0,0,3,4
Nijel's Point,,799,202.521,1308.24,0,0,0,0,13,0,0,0,1,-1,0,0,3,4
Aldrassil,,907,10479.6,812.281,0,0,0,0,4,0,0,0,1,188,0,0,0,6
Shadowthread Cave,,908,10756.2,921.301,0,0,0,0,4,0,0,0,1,188,0,0,0,6
Fel Rock,,909,10050.6,1031.2,0,0,0,0,4,0,0,0,1,186,0,0,0,6
Ban'ethil Barrow Den,,911,9864.17,1557.41,0,0,0,0,4,0,0,0,1,736,0,0,0,6
The Cleft,,912,10316.4,1200.62,0,0,0,0,4,0,0,0,1,266,0,0,0,6
Razorwind Canyon,,913,636.963,-4534.04,0,0,0,0,4,0,0,0,1,410,0,0,0,6
Tor'kren Farm,,929,726.297,-4242.41,0,0,0,0,4,0,0,0,1,369,0,0,0,6
Steelgrill's Depot,,947,-5488.04,-658.67,0,0,0,0,4,0,0,0,0,131,0,0,0,6
Ironband's Compound,,948,-5858.7,-2004.1,0,0,0,0,4,0,0,0,0,212,0,0,0,6
Echo Ridge Mine,,949,-8676.57,-119.634,0,0,0,0,4,0,0,0,0,24,0,0,0,6
Maclure Vineyards,,950,-9948.39,69.1568,0,0,0,0,4,0,0,0,0,57,0,0,0,6
