ReputationRaceMask[0],ReputationRaceMask[1],ReputationRaceMask[2],ReputationRaceMask[3],Name_lang,Description_lang,ID,ReputationIndex,ParentFactionID,Expansion,FriendshipRepID,Flags,ParagonFactionID,ReputationClassMask[0],ReputationClassMask[1],ReputationClassMask[2],ReputationClassMask[3],ReputationFlags[0],ReputationFlags[1],ReputationFlags[2],ReputationFlags[3],ReputationBase[0],ReputationBase[1],ReputationBase[2],ReputationBase[3],ReputationMax[0],ReputationMax[1],ReputationMax[2],ReputationMax[3],ParentFactionMod[0],ParentFactionMod[1],ParentFactionCap[0],ParentFactionCap[1]
0,0,0,0,"PLAYER, Human",,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"PLAYER, Orc",,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"PLAYER, Dwarf",,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"PLAYER, Night Elf",,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"PLAYER, Undead",,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"PLAYER, Tauren ",,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Creature,,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"PLAYER, Gnome",,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"PLAYER, Troll",,9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Monster,,14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Defias Brotherhood,,15,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Gnoll - Riverpaw,,16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Gnoll - Redridge,,17,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Gnoll - Shadowhide,,18,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Murloc,,19,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"Undead, Scourge",,20,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
1791,0,0,0,Booty Bay,This booming coastal city is run by Baron Revilgaz of the Blackwater Raiders.  Mortal enemies of the Bloodsail Buccaneers and part of the Steamwheedle Cartel.,21,1,169,0,0,0,0,0,0,0,0,64,0,0,0,500,0,0,0,42999,0,0,0,1,0.5,7,5
0,0,0,0,Beast - Spider,,22,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Beast - Boar,,23,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Worgen,,24,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Kobold,,25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"Troll, Bloodscalp",,26,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"Troll, Skullsplitter",,27,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Prey,,28,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Beast - Wolf,,29,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Defias Brotherhood Traitor,,30,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Friendly,,31,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Trogg,,32,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"Troll, Frostmane",,33,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"Orc, Blackrock",,34,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Villian,,35,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Victim,,36,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Beast - Bear,,37,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Ogre,,38,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Kurzen's Mercenaries,,39,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Escortee,,40,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Venture Company,,41,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Beast - Raptor,,42,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Basilisk,,43,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"Dragonflight, Green",,44,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Lost Ones,,45,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
1791,0,0,0, Blacksmithing - Armorsmithing,,46,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3000,0,0,0,1,1,5,5
1097,690,4,0,Ironforge,This Alliance capital is the pride of the Dun Morogh dwarves.  Home to King Magni.,47,20,469,0,0,0,0,0,0,0,0,273,6,17,0,3100,-42000,4000,0,42999,-42000,42999,0,1,0.25,7,5
0,0,0,0,Dark Iron Dwarves,,48,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"Human, Night Watch",,49,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"Dragonflight, Red",,50,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Gnoll - Mosshide,,51,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"Orc, Dragonmaw",,52,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Gnome - Leper,,53,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
1037,690,64,0,Gnomeregan Exiles,"The former denizens of Gnomeregan, now living in exile in Ironforge and in league with the Alliance.",54,18,469,0,0,0,0,0,0,0,0,273,6,17,0,3100,-42000,4000,0,42999,-42000,42999,0,1,0.25,7,5
0,0,0,0,Leopard,,55,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Scarlet Crusade,,56,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Gnoll - Rothide,,57,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Beast - Gorilla,,58,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
1791,0,0,0,Thorium Brotherhood,The dwarves of the Thorium Brotherhood epitomize excellence in craftsmanship and are bent on unlocking the secrets of Blackrock Mountain.,59,4,1118,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,42999,0,0,0,0,0,5,5
0,0,0,0,Naga,,60,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Dalaran,,61,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Forlorn Spirit,,62,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Darkhowl,,63,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Grell,,64,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Furbolg,,65,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Horde Generic,,66,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
690,1101,0,0,Horde,,67,12,1118,0,0,0,0,0,0,0,0,25,14,0,0,3500,-42000,0,0,42999,-42000,0,0,0,0,5,5
162,1101,16,512,Undercity,"Led by Sylvanas Windrunner, the Forsaken have joined a tenuous alliance with the Horde and established this capital in the vast depths under the Ruins of Lordaeron.",68,17,67,0,0,0,0,0,0,0,0,273,6,17,17,500,-42000,4000,3100,42999,-42000,42999,42999,1,0.25,7,5
1093,690,8,0,Darnassus,"This Alliance capital is populated by Night Elves and is located in the Island of Teldrassil.  Ruled by the Priestess of the Moon, Tyrande Whisperwind.",69,21,469,0,0,0,0,0,0,0,0,273,6,17,0,3100,-42000,4000,0,42999,-42000,42999,0,1,0.25,7,5
1791,0,0,0,Syndicate,A primarily human criminal organization that operates mostly out of the Alterac Mountains and Hillsbrad Foothills.,70,6,0,0,0,0,0,0,0,0,0,2,0,0,0,-10000,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Hillsbrad Militia,,71,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
1100,690,1,0,Stormwind,"One of the last bastions of human power, this Alliance capital is ruled by the prodigal king, Varian Wrynn.",72,19,469,0,0,0,0,0,0,0,0,273,6,17,0,3100,-42000,4000,0,42999,-42000,42999,0,1,0.25,7,5
0,0,0,0,Demon,,73,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Elemental,,74,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Spirit,,75,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
160,1101,2,528,Orgrimmar,"Founded by Thrall, this Horde capital city is home to many of the proud orc clans of Durotar.",76,14,67,0,0,0,0,0,0,0,0,273,6,17,17,3100,-42000,4000,500,42999,-42000,42999,42999,1,0.25,7,5
0,0,0,0,Treasure,,77,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,Gnoll - Mudsnout,,78,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"HIllsbrad, Southshore Mayor",,79,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
0,0,0,0,"Dragonflight, Black",,80,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
130,1101,528,32,Thunder Bluff,"Cairne Bloodhoof leads his people, the proud Tauren, from this mighty Horde capital.",81,16,67,0,0,0,0,0,0,0,0,273,6,17,17,3100,-42000,500,4000,42999,-42000,42999,42999,1,0.25,7,5
0,0,0,0,"Troll, Witherbark",,82,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
1791,0,0,0, Leatherworking - Elemental,,83,23,0,0,0,0,0,0,0,0,0,4,0,0,0,2999,0,0,0,3000,0,0,0,1,1,5,5
0,0,0,0,"Quilboar, Razormane",,84,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
