ID,Faction,Flags,FactionGroup,FriendGroup,EnemyGroup,Enemies[0],Enemies[1],Enemies[2],Enemies[3],Friend[0],Friend[1],Friend[2],Friend[3]
1,1,72,3,2,12,0,0,0,0,0,0,0,0
2,2,72,5,4,10,0,0,0,0,0,0,0,0
3,3,72,3,2,12,0,0,0,0,0,0,0,0
4,4,72,3,2,12,0,0,0,0,0,0,0,0
5,5,72,5,4,10,0,0,0,0,0,0,0,0
6,6,72,5,4,10,0,0,0,0,0,0,0,0
7,7,0,0,0,0,0,0,0,0,0,0,0,0
10,40,2056,3,2,0,0,0,0,0,0,0,0,0
11,72,2081,3,2,12,0,0,0,0,0,0,0,0
12,72,0,2,2,4,0,0,0,0,72,0,0,0
14,14,0,8,0,1,0,0,0,0,0,0,0,0
15,7,1,0,0,0,0,0,0,0,7,0,0,0
16,14,1,8,0,1,0,0,0,0,14,0,0,0
17,15,1,8,0,1,0,0,0,0,15,0,0,0
18,19,1,8,0,1,0,0,0,0,19,0,0,0
19,17,1,8,0,1,0,0,0,0,17,0,0,0
20,16,1,8,0,1,0,0,0,0,16,0,0,0
21,20,1,8,0,1,0,0,0,0,20,0,0,0
22,22,0,8,0,1,0,0,0,0,22,0,0,0
23,54,2049,2,2,4,0,0,0,0,0,0,0,0
24,24,1,8,0,1,0,0,0,0,24,0,0,0
25,25,0,8,0,0,0,0,0,0,25,0,0,0
26,25,1,8,0,1,0,0,0,0,25,0,0,0
27,15,1,8,0,1,1,0,0,0,15,0,0,0
28,26,1,8,0,1,0,0,0,0,26,0,0,0
29,76,0,4,4,2,0,0,0,0,0,0,0,0
30,27,1,8,0,1,0,0,0,0,27,0,0,0
31,28,1024,0,0,0,0,0,0,0,148,28,0,0
32,29,16,0,0,0,28,0,0,0,0,0,0,0
33,40,2056,5,4,0,0,0,0,0,0,0,0,0
34,15,1,8,0,0,0,0,0,0,15,0,0,0
35,31,0,0,1,0,0,0,0,0,31,0,0,0
36,32,1025,0,0,0,0,0,0,0,32,0,0,0
37,33,1,8,0,1,0,0,0,0,33,0,0,0
38,29,17,8,0,1,28,0,0,0,29,0,0,0
39,18,1,8,0,1,0,0,0,0,18,0,0,0
40,34,1,8,0,1,0,0,0,0,34,0,0,0
41,35,49,8,0,1,36,0,0,0,35,0,0,0
42,36,9,1,1,0,0,0,0,0,36,0,0,0
43,35,33,8,0,0,36,0,0,0,35,0,0,0
44,37,1,8,0,1,0,0,0,0,37,0,0,0
45,38,1,8,0,1,0,0,0,0,38,0,0,0
46,39,1,8,0,1,0,0,0,0,39,0,0,0
47,41,1,8,0,1,0,0,0,0,41,0,0,0
48,42,1,8,0,1,0,0,0,0,42,0,0,0
49,43,0,8,0,1,0,0,0,0,43,0,0,0
50,44,1,8,0,1,0,0,0,0,44,0,0,0
51,45,1,8,0,1,46,40,0,0,45,0,0,0
52,769,8,8,0,0,770,0,0,0,0,0,0,0
53,49,0,2,2,12,0,0,0,0,49,0,0,0
54,48,1,8,0,1,0,0,0,0,48,0,0,0
55,47,0,2,2,4,0,0,0,0,47,0,0,0
56,49,33,2,2,12,0,0,0,0,49,0,0,0
57,47,2081,3,2,12,0,0,0,0,0,0,0,0
58,7,1,8,0,0,0,0,0,0,0,0,0,0
59,32,1,8,0,1,0,0,0,0,32,0,0,0
60,50,1,8,0,1,0,0,0,0,50,0,0,0
61,51,1,8,0,1,0,0,0,0,51,0,0,0
62,52,1,8,0,1,0,0,0,0,52,0,0,0
63,53,1,8,0,1,0,0,0,0,53,0,0,0
64,54,1,2,2,4,0,0,0,0,0,0,0,0
65,76,1,0,0,0,45,0,0,0,76,0,0,0
66,55,17,8,0,1,28,0,0,0,55,0,0,0
67,56,1,8,0,1,0,0,0,0,56,0,0,0
68,68,0,4,4,2,0,0,0,0,0,0,0,0
69,470,0,0,0,0,0,0,0,0,470,0,0,0
70,57,1,8,0,1,0,0,0,0,57,0,0,0
71,68,2081,5,4,10,0,0,0,0,0,0,0,0
72,58,1,8,0,1,0,0,0,0,58,0,0,0
73,669,1,8,0,1,0,0,0,0,669,0,0,0
