ID,SortName_lang,UiOrderIndex
1,Epic,0
21,REUSE - old wailing caverns,0
22,Seasonal,0
23,REUSE - old undercity one,0
24,Herbalism,0
25,Battlegrounds,0
41,Day of the Dead,0
61,Warlock,0
81,Warrior,0
82,Shaman,0
101,Fishing,0
121,Blacksmithing,0
141,Paladin,0
161,Mage,0
162,Rogue,0
181,Alchemy,0
182,Leatherworking,0
201,Engineering,0
221,Treasure Map,0
241,Tournament,0
261,Hunter,0
262,Priest,0
263,Druid,0
264,Tailoring,0
284,Special,0
304,Cooking,0
324,First Aid,0
344,Legendary,0
364,Darkmoon Faire,0
365,Ahn'Qiraj War,0
366,Lunar Festival,0
367,Reputation,0
368,Invasion,0
369,Midsummer,0
370,Brewfest,0
371,Inscription,0
372,Death Knight,0
373,Jewelcrafting,0
374,Noblegarden,0
375,Pilgrim's Bounty,0
376,Love is in the Air,0
