Name_lang,ID,ParentUiMapID,Flags,System,Type,BountySetID,BountyDisplayLocation,VisibilityPlayerConditionID,HelpTextPosition,BkgAtlasID,LevelRangeMin,LevelRangeMax
Ragefire Chasm,213,1454,0,0,4,0,0,0,0,0,0,0
Zul'Farrak,219,1446,0,0,6,0,0,0,0,0,0,0
The Temple of Atal'Hakkar,220,1435,0,0,4,0,0,0,0,0,0,0
Blackfathom Deeps,221,1440,0,0,4,0,0,0,0,0,0,0
Blackfathom Deeps,222,1440,0,0,4,0,0,0,0,0,0,0
Blackfathom Deeps,223,1440,0,0,4,0,0,0,0,0,0,0
The Stockade,225,1453,0,0,4,0,0,0,0,0,0,0
Gnomeregan,226,1426,0,0,4,0,0,0,0,0,0,0
Gnomeregan,227,1426,0,0,4,0,0,0,0,0,0,0
Gnomeregan,228,1426,0,0,4,0,0,0,0,0,0,0
Gnomeregan,229,1426,0,0,4,0,0,0,0,0,0,0
Uldaman,230,1418,0,0,4,0,0,0,0,0,0,0
Uldaman,231,1418,0,0,4,0,0,0,0,0,0,0
Molten Core,232,1428,0,0,4,0,0,0,0,0,0,0
Zul'Gurub,233,1434,0,0,6,0,0,0,0,0,0,0
Dire Maul,234,1444,0,0,6,0,0,0,0,0,0,0
Dire Maul,235,1444,0,0,4,0,0,0,0,0,0,0
Dire Maul,236,1444,0,0,4,0,0,0,0,0,0,0
Dire Maul,237,1444,0,0,4,0,0,0,0,0,0,0
Dire Maul,238,1444,0,0,4,0,0,0,0,0,0,0
Dire Maul,239,1444,0,0,4,0,0,0,0,0,0,0
Dire Maul,240,1444,0,0,4,0,0,0,0,0,0,0
Blackrock Depths,242,1427,0,0,4,0,0,0,0,0,0,0
Blackrock Depths,243,1427,0,0,4,0,0,0,0,0,0,0
The Shattered Halls,246,1944,0,0,4,0,0,0,0,0,0,0
Ruins of Ahn'Qiraj,247,1451,0,0,6,0,0,0,0,0,0,0
Onyxia's Lair,248,1445,0,0,4,0,0,0,0,0,0,0
Blackrock Spire,250,1428,0,0,4,0,0,0,0,0,0,0
Blackrock Spire,251,1428,0,0,4,0,0,0,0,0,0,0
Blackrock Spire,252,1428,0,0,4,0,0,0,0,0,0,0
Blackrock Spire,253,1428,0,0,4,0,0,0,0,0,0,0
Blackrock Spire,254,1428,0,0,4,0,0,0,0,0,0,0
Blackrock Spire,255,1428,0,0,4,0,0,0,0,0,0,0
Auchenai Crypts,256,1952,0,0,4,0,0,0,0,0,0,0
Auchenai Crypts,257,1952,0,0,4,0,0,0,0,0,0,0
Sethekk Halls,258,1952,0,0,4,0,0,0,0,0,0,0
Sethekk Halls,259,1952,0,0,4,0,0,0,0,0,0,0
Shadow Labyrinth,260,1952,0,0,4,0,0,0,0,0,0,0
The Blood Furnace,261,1944,0,0,4,0,0,0,0,0,0,0
The Underbog,262,1946,0,0,4,0,0,0,0,0,0,0
The Steamvault,263,1946,0,0,4,0,0,0,0,0,0,0
The Steamvault,264,1946,0,0,4,0,0,0,0,0,0,0
