ID,MapID,AreaID,AreaName,LocLeft,LocRight,LocTop,LocBottom,DisplayMapID
4,1,14,Durotar,-1962.4999,-7249.9995,1808.3333,-1716.6666,-1
9,1,215,Mulgore,2047.9166,-3089.5833,-272.91666,-3697.9165,-1
11,1,17,Barrens,2622.9165,-7510.4165,1612.4999,-5143.75,-1
13,1,0,Kalimdor,17066.6,-19733.21,12799.9,-11733.3,-1
14,0,0,Azeroth,18171.97,-22569.21,11176.344,-15973.344,-1
15,0,36,Alterac,783.3333,-2016.6666,1500,-366.66666,-1
16,0,45,Arathi,-866.6666,-4466.6665,-133.33333,-2533.3333,-1
17,0,3,Badlands,-2079.1665,-4566.6665,-5889.583,-7547.9165,-1
19,0,4,BlastedLands,-1241.6666,-4591.6665,-10566.666,-12800,-1
20,0,85,Tirisfal,3033.3333,-1485.4166,3837.4998,824.99994,-1
21,0,130,Silverpine,3449.9998,-750,1666.6666,-1133.3333,-1
22,0,28,WesternPlaguelands,416.66666,-3883.3333,3366.6665,499.99997,-1
23,0,139,EasternPlaguelands,-2185.4165,-6056.25,3799.9998,1218.75,-1
24,0,267,Hilsbrad,1066.6666,-2133.3333,400,-1733.3333,-1
26,0,47,Hinterlands,-1575,-5425,1466.6666,-1100,-1
27,0,1,DunMorogh,1802.0833,-3122.9165,-3877.0833,-7160.4165,-1
28,0,51,SearingGorge,-322.91666,-2554.1665,-6100,-7587.4995,-1
29,0,46,BurningSteppes,-266.66666,-3195.8333,-7031.2495,-8983.333,-1
30,0,12,Elwynn,1535.4166,-1935.4166,-7939.583,-10254.166,-1
32,0,41,DeadwindPass,-833.3333,-3333.3333,-9866.666,-11533.333,-1
34,0,10,Duskwood,833.3333,-1866.6666,-9716.666,-11516.666,-1
35,0,38,LochModan,-1993.7499,-4752.083,-4487.5,-6327.083,-1
36,0,44,Redridge,-1570.8333,-3741.6665,-8575,-10022.916,-1
37,0,33,Stranglethorn,2220.8333,-4160.4165,-11168.75,-15422.916,-1
38,0,8,SwampOfSorrows,-2222.9165,-4516.6665,-9620.833,-11150,-1
39,0,40,Westfall,3016.6665,-483.3333,-9400,-11733.333,-1
40,0,11,Wetlands,-389.5833,-4525,-2147.9165,-4904.1665,-1
41,1,141,Teldrassil,3814.5833,-1277.0833,11831.25,8437.5,-1
42,1,148,Darkshore,2941.6665,-3608.3333,8333.333,3966.6665,-1
43,1,331,Ashenvale,1699.9999,-4066.6665,4672.9165,829.1666,-1
61,1,400,ThousandNeedles,-433.3333,-4833.333,-3966.6665,-6899.9995,-1
81,1,406,StonetalonMountains,3245.8333,-1637.4999,2916.6665,-339.5833,-1
101,1,405,Desolace,4233.333,-262.5,452.0833,-2545.8333,-1
121,1,357,Feralas,5441.6665,-1508.3333,-2366.6665,-6999.9995,-1
141,1,15,Dustwallow,-974.99994,-6225,-2033.3333,-5533.333,-1
161,1,440,Tanaris,-218.74998,-7118.7495,-5875,-10475,-1
181,1,16,Aszhara,-3277.0833,-8347.916,5341.6665,1960.4166,-1
182,1,361,Felwood,1641.6666,-4108.333,7133.333,3299.9998,-1
201,1,490,UngoroCrater,533.3333,-3166.6665,-5966.6665,-8433.333,-1
241,1,493,Moonglade,-1381.25,-3689.5833,8491.666,6952.083,-1
261,1,1377,Silithus,2537.5,-945.834,-5958.334,-8281.25,-1
281,1,618,Winterspring,-316.66666,-7416.6665,8533.333,3799.9998,-1
301,0,1519,Stormwind,1380.9714,36.70063,-8278.851,-9175.205,-1
321,1,1637,Ogrimmar,-3680.601,-5083.2056,2273.8772,1338.4606,-1
341,0,1537,Ironforge,-713.5914,-1504.2164,-4569.241,-5096.8457,-1
362,1,1638,ThunderBluff,516.6666,-527.0833,-849.99994,-1545.8333,-1
381,1,1657,Darnassis,2938.3628,1880.0295,10238.316,9532.587,-1
382,0,1497,Undercity,873.1926,-86.1824,1877.9453,1237.8412,-1
401,30,2597,AlteracValley,1781.2499,-2456.25,1085.4166,-1739.5833,-1
443,489,3277,WarsongGulch,2041.6666,895.8333,1627.0833,862.49994,-1
461,529,3358,ArathiBasin,1858.3333,102.08333,1508.3333,337.5,-1
462,530,3430,EversongWoods,-4487.5,-9412.5,11041.666,7758.333,0
463,530,3433,Ghostlands,-5283.333,-8583.333,8266.666,6066.6665,0
464,530,3524,AzuremystIsle,-10500,-14570.833,-2793.75,-5508.333,1
465,530,3483,Hellfire,5539.583,375,1481.25,-1962.4999,-1
466,530,0,Expansion01,12996.039,-4468.039,5821.3594,-5821.3594,-1
467,530,3521,Zangarmarsh,9475,4447.9165,1935.4166,-1416.6666,-1
471,530,3557,TheExodar,-11066.367,-12123.138,-3609.6833,-4314.371,1
473,530,3520,ShadowmoonValley,4225,-1275,-1947.9166,-5614.583,-1
475,530,3522,BladesEdgeMountains,8845.833,3420.8333,4408.333,791.6666,-1
476,530,3525,BloodmystIsle,-10075,-13337.499,-758.3333,-2933.3333,1
477,530,3518,Nagrand,10295.833,4770.833,41.666664,-3641.6665,-1
478,530,3519,TerokkarForest,7083.333,1683.3333,-999.99994,-4600,-1
479,530,3523,Netherstorm,5483.333,-91.666664,5456.25,1739.5833,-1
480,530,3487,SilvermoonCity,-6400.75,-7612.2085,10153.709,9346.938,0
481,530,3703,ShattrathCity,6135.259,4829.009,-1473.9545,-2344.7878,-1
482,566,3820,NetherstormArena,2660.4165,389.5833,2918.75,1404.1666,-1
499,530,4080,Sunwell,-5302.083,-8629.166,13568.749,11350,0
