ID,Difficulty[0],Difficulty[1],Difficulty[2],Difficulty[3],Difficulty[4],Difficulty[5],Difficulty[6],Difficulty[7],Difficulty[8],Difficulty[9]
1,0,10,20,40,60,80,100,120,0,0
2,0,15,45,85,130,170,215,255,0,0
3,0,25,65,125,190,250,315,380,0,0
4,0,35,90,180,270,355,445,540,0,0
5,0,45,110,225,335,450,560,670,0,0
6,0,55,135,270,405,540,680,810,0,0
7,0,65,160,315,475,630,790,950,0,0
8,0,70,175,350,530,700,880,1050,0,0
9,0,80,195,390,590,780,980,1150,0,0
10,0,85,210,420,630,840,1050,1250,0,0
11,0,90,220,440,660,880,1100,1300,0,0
12,0,90,225,455,680,910,1150,1350,0,0
13,0,90,230,455,680,910,1150,1350,0,0
14,0,100,245,490,740,980,1250,1450,0,0
15,0,105,270,540,800,1050,1350,1600,0,0
16,0,115,290,580,880,1150,1450,1750,0,0
17,0,125,315,630,950,1250,1600,1900,0,0
18,0,135,340,680,1000,1350,1700,2050,0,0
19,0,145,365,730,1100,1450,1800,2200,0,0
20,0,155,390,780,1150,1550,1950,2350,0,0
21,0,165,415,830,1250,1650,2050,2500,0,0
22,0,175,435,870,1300,1750,2200,2600,0,0
23,0,185,460,920,1400,1850,2300,2750,0,0
24,0,195,485,970,1450,1950,2400,2900,0,0
25,0,200,510,1000,1500,2000,2550,3050,0,0
26,0,210,530,1050,1600,2100,2650,3150,0,0
27,0,220,550,1100,1650,2200,2750,3300,0,0
28,0,230,570,1150,1700,2300,2850,3400,0,0
29,0,235,590,1200,1750,2350,2950,3550,0,0
30,0,245,610,1200,1850,2450,3050,3650,0,0
31,0,250,630,1250,1900,2500,3150,3750,0,0
32,0,255,640,1300,1950,2550,3200,3850,0,0
33,0,265,660,1300,1950,2650,3300,3950,0,0
34,0,270,670,1350,2000,2700,3350,4050,0,0
35,0,275,690,1350,2050,2750,3450,4100,0,0
36,0,280,700,1400,2100,2800,3500,4200,0,0
37,0,285,710,1400,2100,2850,3550,4250,0,0
38,0,285,710,1450,2150,2850,3550,4300,0,0
39,0,300,750,1500,2250,3000,3750,4500,0,0
40,0,315,780,1550,2350,3150,3900,4700,0,0
41,0,330,820,1650,2450,3300,4100,4900,0,0
42,0,345,860,1700,2550,3450,4300,5150,0,0
43,0,360,890,1800,2700,3600,4450,5350,0,0
44,0,375,930,1850,2800,3750,4650,5600,0,0
45,0,390,970,1950,2900,3900,4850,5850,0,0
46,0,405,1000,2000,3050,4050,5050,6050,0,0
47,0,420,1050,2100,3150,4200,5250,6300,0,0
48,0,440,1100,2200,3300,4400,5450,6550,0,0
49,0,455,1150,2250,3400,4550,5700,6800,0,0
50,0,470,1200,2350,3550,4700,5900,7100,0,0
51,0,490,1200,2450,3650,4900,6100,7350,0,0
52,0,510,1250,2550,3800,5100,6350,7600,0,0
53,0,530,1300,2650,3950,5250,6550,7900,0,0
54,0,540,1350,2700,4100,5450,6800,8150,0,0
55,0,560,1400,2800,4200,5650,7050,8450,0,0
56,0,580,1450,2900,4350,5800,7300,8750,0,0
57,0,600,1500,3000,4500,6000,7550,9050,0,0
58,0,620,1550,3100,4650,6200,7750,9300,0,0
59,0,640,1600,3200,4800,6400,8050,9650,0,0
60,0,660,1650,3300,4950,6600,8300,9950,0,0
61,0,680,1700,3400,5100,6850,8550,10250,0,0
62,0,700,1750,3500,5300,7050,8800,10550,0,0
63,0,730,1800,3650,5450,7250,9050,10900,0,0
64,0,750,1850,3750,5600,7500,9350,11200,0,0
65,0,770,1900,3850,5750,7700,9600,11550,0,0
66,0,790,2000,3950,5950,7900,9900,11900,0,0
67,0,810,2050,4050,6100,8150,10200,12200,0,0
68,0,840,2100,4200,6300,8400,10450,12550,0,0
69,0,860,2150,4300,6450,8600,10750,12900,0,0
70,0,880,2200,4400,6650,8850,11050,13250,0,0
71,0,910,2250,4550,6800,9100,11350,13650,0,0
72,0,930,2350,4650,7000,9350,11650,14000,0,0
73,0,960,2400,4800,7200,9600,11950,14350,0,0
74,0,980,2450,4900,7350,9850,12300,14750,0,0
75,0,1000,2500,5050,7550,10100,12600,15100,0,0
76,0,1050,2600,5150,7750,10350,12900,15500,0,0
77,0,1050,2650,5300,7950,10600,13250,15900,0,0
78,0,1100,2700,5450,8150,10850,13550,16300,0,0
79,0,1100,2800,5550,8350,11100,13900,16700,0,0
80,0,1150,2850,5700,8550,11400,14250,17100,0,0
81,0,1150,2900,5850,8750,11650,14600,17500,0,0
82,0,1200,3000,5950,8950,11950,14950,17900,0,0
83,0,1200,3050,6100,9150,12200,15250,18300,0,0
84,0,1250,3150,6250,9400,12500,15650,18750,0,0
85,0,1300,3200,6400,9600,12800,16000,19200,0,0
86,0,1300,3250,6550,9800,13050,16350,19600,0,0
87,0,1350,3350,6700,10000,13350,16700,20050,0,0
88,0,1350,3400,6850,10250,13650,17050,20500,0,0
89,0,1400,3500,7000,10450,13950,17450,20950,0,0
90,0,1450,3550,7150,10700,14250,17800,21400,0,0
91,0,1450,3650,7300,10900,14550,18200,21850,0,0
92,0,1500,3700,7450,11150,14850,18600,22300,0,0
93,0,1500,3800,7600,11400,15200,18950,22750,0,0
94,0,1550,3850,7750,11600,15500,19350,23250,0,0
95,0,1600,3950,7900,11850,15800,19750,23700,0,0
96,0,1600,4050,8050,12100,16150,20150,24200,0,0
97,0,1650,4100,8250,12350,16450,20550,24700,0,0
98,0,1700,4200,8400,12600,16800,20950,25150,0,0
99,0,1700,4300,8550,12850,17100,21400,25650,0,0
100,0,1750,4350,8700,13100,17450,21800,26150,0,0
