"AreaName","LocLeft","LocRight","LocTop","LocBottom","Flags","MapId","AreaId","DisplayMapId","DefaultDungeonFloor","ParentWorldMapId","LevelRangeMin","LevelRangeMax","BountySetId","BountyDisplayLocation","ID","VisibilityPlayerConditionId"
"Durotar","-1962,5","-7250","1808,333","-1716,667","0","1","14","65535","0","0","0","0","0","0","4","0"
"Mulgore","2047,917","-3089,583","-272,9167","-3697,917","0","1","215","65535","0","0","0","0","0","0","9","0"
"Barrens","2622,917","-7510,417","1612,5","-5143,75","0","1","17","65535","0","0","0","0","0","0","11","0"
"Kalimdor","17066,6","-19733,21","12799,9","-11733,3","0","1","0","65535","0","0","0","0","0","0","13","0"
"Azeroth","16000","-19199,9","7466,6","-16000","0","0","0","65535","0","0","0","0","0","0","14","0"
"Alterac","783,3333","-2016,667","1500","-366,6667","0","0","36","65535","0","0","0","0","0","0","15","0"
"Arathi","-866,6666","-4466,667","-133,3333","-2533,333","0","0","45","65535","0","0","0","0","0","0","16","0"
"Badlands","-2079,167","-4566,667","-5889,583","-7547,917","0","0","3","65535","0","0","0","0","0","0","17","0"
"BlastedLands","-1241,667","-4591,667","-10566,67","-12800","0","0","4","65535","0","0","0","0","0","0","19","0"
"Tirisfal","3033,333","-1485,417","3837,5","824,9999","0","0","85","65535","0","0","0","0","0","0","20","0"
"Silverpine","3450","-750","1666,667","-1133,333","0","0","130","65535","0","0","0","0","0","0","21","0"
"WesternPlaguelands","416,6667","-3883,333","3366,667","500","0","0","28","65535","0","0","0","0","0","0","22","0"
"EasternPlaguelands","-2185,417","-6056,25","3800","1218,75","0","0","139","65535","0","0","0","0","0","0","23","0"
"Hilsbrad","1066,667","-2133,333","400","-1733,333","0","0","267","65535","0","0","0","0","0","0","24","0"
"Hinterlands","-1575","-5425","1466,667","-1100","0","0","47","65535","0","0","0","0","0","0","26","0"
"DunMorogh","1802,083","-3122,917","-3877,083","-7160,417","0","0","1","65535","0","0","0","0","0","0","27","0"
"SearingGorge","-322,9167","-2554,167","-6100","-7587,5","0","0","51","65535","0","0","0","0","0","0","28","0"
"BurningSteppes","-266,6667","-3195,833","-7031,25","-8983,333","0","0","46","65535","0","0","0","0","0","0","29","0"
"Elwynn","1535,417","-1935,417","-7939,583","-10254,17","0","0","12","65535","0","0","0","0","0","0","30","0"
"DeadwindPass","-833,3333","-3333,333","-9866,666","-11533,33","0","0","41","65535","0","0","0","0","0","0","32","0"
"Duskwood","833,3333","-1866,667","-9716,666","-11516,67","0","0","10","65535","0","0","0","0","0","0","34","0"
"LochModan","-1993,75","-4752,083","-4487,5","-6327,083","0","0","38","65535","0","0","0","0","0","0","35","0"
"Redridge","-1570,833","-3741,667","-8575","-10022,92","0","0","44","65535","0","0","0","0","0","0","36","0"
"Stranglethorn","2220,833","-4160,417","-11168,75","-15422,92","0","0","33","65535","0","0","0","0","0","0","37","0"
"SwampOfSorrows","-2222,917","-4516,667","-9620,833","-11150","0","0","8","65535","0","0","0","0","0","0","38","0"
"Westfall","3016,667","-483,3333","-9400","-11733,33","0","0","40","65535","0","0","0","0","0","0","39","0"
"Wetlands","-389,5833","-4525","-2147,917","-4904,167","0","0","11","65535","0","0","0","0","0","0","40","0"
"Teldrassil","3814,583","-1277,083","11831,25","8437,5","0","1","141","65535","0","0","0","0","0","0","41","0"
"Darkshore","2941,667","-3608,333","8333,333","3966,667","0","1","148","65535","0","0","0","0","0","0","42","0"
"Ashenvale","1700","-4066,667","4672,917","829,1666","0","1","331","65535","0","0","0","0","0","0","43","0"
"ThousandNeedles","-433,3333","-4833,333","-3966,667","-6900","0","1","400","65535","0","0","0","0","0","0","61","0"
"StonetalonMountains","3245,833","-1637,5","2916,667","-339,5833","0","1","406","65535","0","0","0","0","0","0","81","0"
"Desolace","4233,333","-262,5","452,0833","-2545,833","0","1","405","65535","0","0","0","0","0","0","101","0"
"Feralas","5441,667","-1508,333","-2366,667","-7000","0","1","357","65535","0","0","0","0","0","0","121","0"
"Dustwallow","-974,9999","-6225","-2033,333","-5533,333","0","1","15","65535","0","0","0","0","0","0","141","0"
"Tanaris","-218,75","-7118,75","-5875","-10475","0","1","440","65535","0","0","0","0","0","0","161","0"
"Aszhara","-3277,083","-8347,916","5341,667","1960,417","0","1","16","65535","0","0","0","0","0","0","181","0"
"Felwood","1641,667","-4108,333","7133,333","3300","0","1","361","65535","0","0","0","0","0","0","182","0"
"UngoroCrater","533,3333","-3166,667","-5966,667","-8433,333","0","1","490","65535","0","0","0","0","0","0","201","0"
"Moonglade","-1381,25","-3689,583","8491,666","6952,083","0","1","493","65535","0","0","0","0","0","0","241","0"
"Silithus","2537,5","-945,834","-5958,334","-8281,25","0","1","1377","65535","0","0","0","0","0","0","261","0"
"Winterspring","-316,6667","-7416,667","8533,333","3800","0","1","618","65535","0","0","0","0","0","0","281","0"
"Stormwind","1380,971","36,70063","-8278,851","-9175,205","0","0","1519","65535","0","0","0","0","0","0","301","0"
"Ogrimmar","-3680,601","-5083,206","2273,877","1338,461","0","1","1637","65535","0","0","0","0","0","0","321","0"
"Ironforge","-713,5914","-1504,216","-4569,241","-5096,846","0","0","1537","65535","0","0","0","0","0","0","341","0"
"ThunderBluff","516,6666","-527,0833","-849,9999","-1545,833","0","1","1638","65535","0","0","0","0","0","0","362","0"
"Darnassis","2938,363","1880,03","10238,32","9532,587","0","1","1657","65535","0","0","0","0","0","0","381","0"
"Undercity","873,1926","-86,1824","1877,945","1237,841","0","0","1497","65535","0","0","0","0","0","0","382","0"
"AlteracValley","1781,25","-2456,25","1085,417","-1739,583","0","30","2597","65535","0","0","0","0","0","0","401","0"
"WarsongGulch","2041,667","895,8333","1627,083","862,4999","0","489","3277","65535","0","0","0","0","0","0","443","0"
"ArathiBasin","1858,333","102,0833","1508,333","337,5","0","529","3358","65535","0","0","0","0","0","0","461","0"
